,Number of vCPUs,Number of Threads,Max Prime,Events per second,Total Time,Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,32,1,10000,1331.26,30.0004,39943.0,0.73,0.75,1.74,0.75,29.98559,39943.0,29.9856
1,32,1,50000,140.89,30.0001,4227.0,6.99,7.1,14.37,7.17,29.99495,4227.0,29.9949
2,32,1,100000,53.22,30.0032,1597.0,18.6,18.78,32.24,18.95,29.99858,1597.0,29.9986
3,32,1,500000,5.5,30.0004,165.0,181.26,181.81,191.98,183.21,29.99858,165.0,29.9986
4,32,1,1000000,2.05,30.1795,62.0,485.44,486.75,500.73,484.44,30.178630000000002,62.0,30.1786
5,32,2,10000,2656.29,30.0006,79700.0,0.73,0.75,6.24,0.77,59.97168,39850.0,29.9858
6,32,2,50000,282.02,30.0068,8463.0,6.99,7.09,15.95,7.17,59.99819,4231.5,29.9991
7,32,2,100000,106.4,30.016,3194.0,18.58,18.79,28.44,18.95,60.019949999999994,1597.0,30.01
8,32,2,500000,10.97,30.078,330.0,181.06,182.12,202.97,186.54,60.098330000000004,165.0,30.0492
9,32,2,1000000,4.09,30.2852,124.0,485.3,488.43,511.08,502.2,60.56593,62.0,30.283
10,32,3,10000,3988.01,30.0008,119658.0,0.73,0.75,3.55,0.77,89.94878,39886.0,29.9829
11,32,3,50000,421.69,30.0066,12655.0,6.99,7.11,21.73,7.17,89.99614,4218.3333,29.9987
12,32,3,100000,159.52,30.0176,4789.0,18.56,18.8,42.69,18.95,90.02407000000001,1596.3333,30.008
13,32,3,500000,16.4,30.1181,494.0,181.11,182.75,230.16,189.93,90.28067,164.6667,30.0936
14,32,3,1000000,6.13,30.3402,186.0,485.4,488.69,529.55,502.2,90.89563000000001,62.0,30.2985
15,32,4,10000,5300.97,30.0006,159041.0,0.73,0.75,5.83,0.77,119.93497,39760.25,29.9837
16,32,4,50000,562.48,30.0065,16879.0,6.99,7.11,22.39,7.17,119.99685000000001,4219.75,29.9992
17,32,4,100000,212.31,30.0183,6374.0,18.58,18.83,42.98,18.95,120.0402,1593.5,30.0101
18,32,4,500000,21.83,30.1801,659.0,181.14,182.77,259.49,189.93,120.44486,164.75,30.1112
19,32,4,1000000,8.12,30.4297,247.0,485.31,490.93,565.5,511.33,121.25895,61.75,30.3147
20,32,5,10000,6618.17,30.0009,198575.0,0.73,0.75,3.99,0.77,149.91614,39715.0,29.9832
21,32,5,50000,704.44,30.0056,21140.0,7.0,7.1,15.96,7.17,149.99376999999998,4228.0,29.9988
22,32,5,100000,265.33,30.0156,7965.0,18.55,18.84,41.68,18.95,150.0242,1593.0,30.0048
23,32,5,500000,27.27,30.1775,823.0,181.09,182.84,244.49,189.93,150.47462,164.6,30.0949
24,32,5,1000000,10.21,30.347,310.0,485.24,489.14,576.3,502.2,151.63212,62.0,30.3264
25,32,6,10000,7939.38,30.0006,238215.0,0.73,0.76,6.58,0.77,179.88573000000002,39702.5,29.981
26,32,6,50000,837.61,30.0054,25134.0,6.99,7.16,21.5,7.17,179.98549,4189.0,29.9976
27,32,6,100000,318.11,30.016,9549.0,18.56,18.85,42.81,18.95,180.0301,1591.5,30.005
28,32,6,500000,32.73,30.1531,987.0,181.05,183.22,249.16,189.93,180.84145999999998,164.5,30.1402
29,32,6,1000000,12.17,30.4837,371.0,485.39,491.56,576.95,511.33,182.36951000000002,61.8333,30.3949
30,32,7,10000,9253.72,30.0007,277634.0,0.73,0.76,3.84,0.77,209.87401,39662.0,29.982
31,32,7,50000,977.91,30.0061,29347.0,6.99,7.16,21.84,7.17,209.99279,4192.4286,29.999
32,32,7,100000,370.56,30.0142,11123.0,18.58,18.88,42.69,18.95,210.02433,1589.0,30.0035
33,32,7,500000,38.07,30.1273,1147.0,181.07,183.54,323.32,189.93,210.52072,163.8571,30.0744
34,32,7,1000000,14.14,30.4718,431.0,485.31,491.53,647.94,511.33,211.8489,61.5714,30.2641
35,32,8,10000,10513.35,30.0009,315440.0,0.73,0.76,5.93,0.77,239.83919,39430.0,29.9799
