,Number of vCPUs,Number of Threads,Max Prime,Events per second,Total Time,Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,32,1,10000,1331.6,30.0006,39954.0,0.73,0.75,1.72,0.77,29.97783,39954.0,29.9778
1,32,1,50000,140.88,30.0004,4227.0,7.0,7.1,13.8,7.17,29.992009999999997,4227.0,29.992
2,32,1,100000,53.27,30.0159,1599.0,18.6,18.77,26.94,18.95,30.00966,1599.0,30.0097
3,32,1,500000,5.49,30.0628,165.0,181.12,182.18,194.72,186.54,30.060299999999998,165.0,30.0603
4,32,1,1000000,2.05,30.2638,62.0,485.56,488.11,507.48,493.24,30.26264,62.0,30.2626
5,32,2,10000,2658.84,30.0007,79778.0,0.73,0.75,2.97,0.77,59.96193,39889.0,29.981
6,32,2,50000,281.36,30.0041,8443.0,6.99,7.11,14.5,7.17,59.993230000000004,4221.5,29.9966
7,32,2,100000,106.43,30.0176,3195.0,18.6,18.78,28.33,18.95,60.012480000000004,1597.5,30.0062
8,32,2,500000,10.97,30.1774,331.0,181.04,181.92,196.59,183.21,60.217040000000004,165.5,30.1085
9,32,2,1000000,4.1,30.2603,124.0,485.14,487.43,500.21,493.24,60.441309999999994,62.0,30.2207
10,32,3,10000,3987.12,30.0008,119631.0,0.73,0.75,3.21,0.77,89.94198,39877.0,29.9807
11,32,3,50000,422.03,30.006,12665.0,6.99,7.11,19.1,7.17,89.99414999999999,4221.6667,29.9981
12,32,3,100000,159.42,30.0186,4786.0,18.57,18.81,30.51,18.95,90.0389,1595.3333,30.013
13,32,3,500000,16.45,30.0864,495.0,181.04,182.17,200.68,186.54,90.17309,165.0,30.0577
14,32,3,1000000,6.14,30.2798,186.0,485.0,487.85,531.3,493.24,90.73971,62.0,30.2466
15,32,4,10000,5312.52,30.0008,159397.0,0.73,0.75,5.39,0.77,119.92061,39849.25,29.9802
16,32,4,50000,562.56,30.0062,16882.0,6.99,7.11,19.04,7.17,119.99413,4220.5,29.9985
17,32,4,100000,212.06,30.0178,6366.0,18.56,18.85,42.61,18.95,120.02472,1591.5,30.0062
18,32,4,500000,21.87,30.1766,660.0,181.05,182.39,239.14,186.54,120.3793,165.0,30.0948
19,32,4,1000000,8.18,30.2992,248.0,485.15,488.21,533.09,493.24,121.07532,62.0,30.2688
20,32,5,10000,6638.87,30.0007,199182.0,0.73,0.75,3.65,0.77,149.89785999999998,39836.4,29.9796
21,32,5,50000,702.78,30.0048,21088.0,6.99,7.11,22.53,7.17,149.98114,4217.6,29.9962
22,32,5,100000,265.62,30.0177,7974.0,18.57,18.82,42.99,18.95,150.03983,1594.8,30.008
23,32,5,500000,27.38,30.1303,825.0,181.06,182.48,243.11,186.54,150.54857,165.0,30.1097
24,32,5,1000000,10.22,30.3225,310.0,485.15,488.64,526.53,493.24,151.47773999999998,62.0,30.2955
25,32,6,10000,7943.78,30.0009,238349.0,0.73,0.75,4.88,0.77,179.87342,39724.8333,29.9789
26,32,6,50000,842.78,30.0067,25292.0,6.99,7.12,20.38,7.17,179.98257999999998,4215.3333,29.9971
27,32,6,100000,317.98,30.0187,9546.0,18.58,18.86,43.74,18.95,180.04592000000002,1591.0,30.0077
28,32,6,500000,32.77,30.1782,989.0,181.06,182.91,268.68,189.93,180.89872,164.8333,30.1498
29,32,6,1000000,12.24,30.3787,372.0,485.15,488.49,560.38,493.24,181.71898000000002,62.0,30.2865
30,32,7,10000,9254.69,30.0007,277670.0,0.73,0.76,4.91,0.77,209.85845999999998,39667.1429,29.9798
31,32,7,50000,979.51,30.0062,29393.0,6.99,7.14,23.2,7.17,209.98708,4199.0,29.9982
