,Number of Threads,Max Prime,Events per second,Total Time,Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
51,1,10000,1331.6,30.0006,39954.0,0.73,0.75,1.72,0.77,29977.83,39954.0,29.9778
59,1,50000,140.88,30.0004,4227.0,7.0,7.1,13.8,7.17,29992.01,4227.0,29.992
27,1,100000,53.27,30.0159,1599.0,18.6,18.77,26.94,18.95,30009.66,1599.0,30.0097
188,1,500000,5.49,30.0628,165.0,181.12,182.18,194.72,186.54,30060.3,165.0,30.0603
96,1,1000000,2.05,30.2638,62.0,485.56,488.11,507.48,493.24,30262.64,62.0,30.2626
89,2,10000,2658.84,30.0007,79778.0,0.73,0.75,2.97,0.77,59961.93,39889.0,29.981
49,2,50000,281.36,30.0041,8443.0,6.99,7.11,14.5,7.17,59993.23,4221.5,29.9966
71,2,100000,106.43,30.0176,3195.0,18.6,18.78,28.33,18.95,60012.48,1597.5,30.0062
98,2,500000,10.97,30.1774,331.0,181.04,181.92,196.59,183.21,60217.04,165.5,30.1085
19,2,1000000,4.1,30.2603,124.0,485.14,487.43,500.21,493.24,60441.31,62.0,30.2207
183,3,10000,3987.12,30.0008,119631.0,0.73,0.75,3.21,0.77,89941.98,39877.0,29.9807
177,3,50000,422.03,30.006,12665.0,6.99,7.11,19.1,7.17,89994.15,4221.6667,29.9981
180,3,100000,159.42,30.0186,4786.0,18.57,18.81,30.51,18.95,90038.9,1595.3333,30.013
167,3,500000,16.45,30.0864,495.0,181.04,182.17,200.68,186.54,90173.09,165.0,30.0577
146,3,1000000,6.14,30.2798,186.0,485.0,487.85,531.3,493.24,90739.71,62.0,30.2466
35,4,10000,5312.52,30.0008,159397.0,0.73,0.75,5.39,0.77,119920.61,39849.25,29.9802
69,4,50000,562.56,30.0062,16882.0,6.99,7.11,19.04,7.17,119994.13,4220.5,29.9985
129,4,100000,212.06,30.0178,6366.0,18.56,18.85,42.61,18.95,120024.72,1591.5,30.0062
184,4,500000,21.87,30.1766,660.0,181.05,182.39,239.14,186.54,120379.3,165.0,30.0948
131,4,1000000,8.18,30.2992,248.0,485.15,488.21,533.09,493.24,121075.32,62.0,30.2688
29,5,10000,6638.87,30.0007,199182.0,0.73,0.75,3.65,0.77,149897.86,39836.4,29.9796
123,5,50000,702.78,30.0048,21088.0,6.99,7.11,22.53,7.17,149981.14,4217.6,29.9962
40,5,100000,265.62,30.0177,7974.0,18.57,18.82,42.99,18.95,150039.83,1594.8,30.008
152,5,500000,27.38,30.1303,825.0,181.06,182.48,243.11,186.54,150548.57,165.0,30.1097
138,5,1000000,10.22,30.3225,310.0,485.15,488.64,526.53,493.24,151477.74,62.0,30.2955
122,6,10000,7943.78,30.0009,238349.0,0.73,0.75,4.88,0.77,179873.42,39724.8333,29.9789
198,6,50000,842.78,30.0067,25292.0,6.99,7.12,20.38,7.17,179982.58,4215.3333,29.9971
81,6,100000,317.98,30.0187,9546.0,18.58,18.86,43.74,18.95,180045.92,1591.0,30.0077
68,6,500000,32.77,30.1782,989.0,181.06,182.91,268.68,189.93,180898.72,164.8333,30.1498
10,6,1000000,12.24,30.3787,372.0,485.15,488.49,560.38,493.24,181718.98,62.0,30.2865
136,7,10000,9254.69,30.0007,277670.0,0.73,0.76,4.91,0.77,209858.46,39667.1429,29.9798
65,7,50000,979.51,30.0062,29393.0,6.99,7.14,23.2,7.17,209987.08,4199.0,29.9982
87,7,100000,371.05,30.0182,11139.0,18.57,18.86,44.16,18.95,210034.72,1591.2857,30.005
170,7,500000,38.2,30.1528,1152.0,181.08,182.87,283.8,186.54,210667.41,164.5714,30.0953
194,7,1000000,14.15,30.4615,431.0,485.27,491.76,690.8,502.2,211948.76,61.5714,30.2784
159,8,10000,10569.58,30.0008,317114.0,0.73,0.76,4.36,0.77,239831.97,39639.25,29.979
190,8,50000,1117.48,30.007,33536.0,6.99,7.16,20.71,7.17,239984.21,4192.0,29.998
92,8,100000,422.85,30.0118,12692.0,18.58,18.91,44.34,18.95,240040.46,1586.5,30.0051
43,8,500000,43.62,30.1674,1316.0,181.05,183.06,364.26,189.93,240906.61,164.5,30.1133
156,8,1000000,16.11,30.4105,490.0,485.13,492.85,843.96,511.33,241497.86,61.25,30.1872
83,9,10000,11887.79,30.0006,356661.0,0.73,0.76,5.98,0.77,269810.9,39629.0,29.979
106,9,50000,1259.02,30.0048,37781.0,6.99,7.15,18.08,7.17,269969.34,4197.8889,29.9966
45,9,100000,473.02,30.0184,14201.0,18.57,19.02,41.64,18.95,270043.52,1577.8889,30.0048
197,9,500000,48.86,30.1816,1475.0,181.02,183.63,300.12,189.93,270857.59,163.8889,30.0953
182,9,1000000,18.24,30.4859,556.0,485.27,491.1,616.12,502.2,273051.08,61.7778,30.339
113,10,10000,13118.42,30.0006,393582.0,0.73,0.76,5.06,0.77,299788.75,39358.2,29.9789
95,10,50000,1382.93,30.0065,41502.0,6.99,7.23,21.21,7.17,299976.51,4150.2,29.9977
1,10,100000,516.19,30.018,15497.0,18.59,19.36,42.82,19.29,300065.97,1549.7,30.0066
86,10,500000,54.22,30.1319,1634.0,181.07,184.01,364.21,189.93,300669.39,163.4,30.0669
110,10,1000000,20.05,30.4722,611.0,485.29,494.23,758.6,520.62,301971.75,61.1,30.1972
108,11,10000,14378.3,30.0007,431411.0,0.73,0.76,5.32,0.77,329780.32,39219.1818,29.98
119,11,50000,1510.78,30.0068,45336.0,6.99,7.28,21.73,7.3,329973.02,4121.4545,29.9975
102,11,100000,577.06,30.0158,17322.0,18.56,19.05,43.69,18.95,330064.13,1574.7273,30.0058
117,11,500000,58.95,30.1576,1778.0,180.83,186.1,362.94,204.11,330879.15,161.6364,30.0799
24,11,1000000,22.04,30.4439,671.0,485.18,495.24,743.86,530.08,332305.99,61.0,30.2096
161,12,10000,15586.91,30.0007,467675.0,0.73,0.77,7.07,0.78,359747.7,38972.9167,29.979
179,12,50000,1664.87,30.0068,49960.0,6.99,7.21,20.2,7.17,359973.75,4163.3333,29.9978
193,12,100000,626.45,30.0178,18806.0,18.57,19.15,42.96,19.29,360090.69,1567.1667,30.0076
120,12,500000,64.3,30.185,1941.0,181.1,185.87,363.35,193.38,360767.85,161.75,30.064
153,12,1000000,23.62,30.473,720.0,485.35,502.81,960.41,559.5,362024.82,60.0,30.1687
75,13,10000,16755.98,30.0009,502722.0,0.73,0.78,5.16,0.78,389720.15,38670.9231,29.9785
199,13,50000,1743.94,30.0087,52336.0,6.99,7.45,21.17,13.7,389986.81,4025.8462,29.999
31,13,100000,663.72,30.0312,19934.0,18.56,19.57,41.68,22.28,390165.17,1533.3846,30.0127
185,13,500000,67.98,30.1821,2052.0,181.09,190.71,362.36,235.74,391341.02,157.8462,30.1032
154,13,1000000,25.71,30.452,783.0,485.24,501.94,962.36,569.67,393015.74,60.2308,30.232
48,14,10000,17869.35,30.0008,536126.0,0.73,0.78,8.15,1.14,419707.52,38294.7143,29.9791
143,14,50000,1859.47,30.0071,55800.0,6.99,7.53,19.08,13.7,419953.79,3985.7143,29.9967
132,14,100000,712.77,30.0159,21397.0,18.57,19.63,43.97,24.38,420067.53,1528.3571,30.0048
125,14,500000,70.8,30.2077,2139.0,181.09,196.91,363.08,344.08,421197.25,152.7857,30.0855
100,14,1000000,26.34,30.5556,805.0,485.22,526.81,968.8,746.32,424079.84,57.5,30.2914
57,15,10000,18644.22,30.0007,559371.0,0.73,0.8,5.68,1.42,449686.74,37291.4,29.9791
142,15,50000,1970.91,30.0104,59151.0,6.99,7.61,32.2,13.7,449985.66,3943.4,29.999
173,15,100000,697.25,30.022,20934.0,18.56,21.5,42.99,36.24,450161.03,1395.6,30.0107
23,15,500000,76.49,30.1558,2307.0,181.13,195.7,363.23,320.17,451479.17,153.8,30.0986
192,15,1000000,28.12,30.4704,857.0,485.46,529.81,960.4,787.74,454047.1,57.1333,30.2698
174,16,10000,19309.14,30.001,579364.0,0.73,0.83,11.26,1.42,479664.65,36210.25,29.979
126,16,50000,1957.17,30.0071,58732.0,6.99,8.17,19.45,13.7,479969.85,3670.75,29.9981
90,16,100000,739.01,30.0269,22193.0,18.57,21.63,45.6,36.24,480115.06,1387.0625,30.0072
13,16,500000,77.64,30.1624,2342.0,181.08,205.45,363.28,356.7,481175.07,146.375,30.0734
56,16,1000000,29.05,30.5992,889.0,485.79,545.42,965.41,960.3,484878.51,55.5625,30.3049
73,17,10000,18977.88,30.0011,569388.0,0.73,0.9,9.01,1.42,509674.93,33493.4118,29.9809
46,17,50000,2061.44,30.0067,61862.0,6.99,8.24,21.26,13.7,509960.14,3638.9412,29.9977
8,17,100000,778.91,30.0224,23386.0,18.59,21.81,43.59,36.24,510123.53,1375.6471,30.0073
114,17,500000,78.68,30.284,2383.0,181.1,214.92,371.26,356.7,512159.92,140.1765,30.1271
84,17,1000000,29.13,30.4804,888.0,485.11,579.16,966.95,960.3,514293.17,52.2353,30.2525
105,18,10000,19351.18,30.0011,580590.0,0.73,0.93,13.8,1.42,539666.16,32255.0,29.9815
160,18,50000,2060.24,30.0091,61829.0,6.99,8.73,27.16,13.7,539990.97,3434.9444,29.9995
64,18,100000,779.77,30.0228,23413.0,18.57,23.07,44.21,36.24,540125.52,1300.7222,30.007
37,18,500000,79.72,30.2158,2409.0,181.1,224.88,365.09,356.7,541746.95,133.8333,30.0971
147,18,1000000,30.64,30.5442,936.0,485.43,584.14,970.62,960.3,546755.41,52.0,30.3753
5,19,10000,20447.66,30.0008,613480.0,0.73,0.93,14.57,1.42,569606.13,32288.4211,29.9793
22,19,50000,2148.14,30.0091,64467.0,6.99,8.84,25.82,13.7,570010.63,3393.0,30.0006
196,19,100000,801.48,30.0307,24072.0,18.58,23.68,81.64,36.24,570143.53,1266.9474,30.0076
14,19,500000,81.48,30.2003,2461.0,180.89,232.4,371.92,356.7,571931.53,129.5263,30.1017
34,19,1000000,30.29,30.4977,924.0,485.7,621.25,970.43,960.3,574039.09,48.6316,30.2126
70,20,10000,20707.32,30.0011,621277.0,0.73,0.97,16.53,1.42,599615.04,31063.85,29.9808
58,20,50000,2158.5,30.0128,64788.0,6.99,9.26,27.85,13.7,600005.79,3239.4,30.0003
18,20,100000,796.17,30.0226,23906.0,18.57,25.1,52.61,36.24,600153.58,1195.3,30.0077
151,20,500000,83.19,30.2405,2516.0,181.16,239.36,373.19,356.7,602239.12,125.8,30.112
33,20,1000000,30.81,30.5404,941.0,485.71,643.43,1006.26,960.3,605469.07,47.05,30.2735
104,21,10000,20691.87,30.0008,620807.0,0.73,1.01,20.87,1.42,629594.22,29562.2381,29.9807
53,21,50000,2174.9,30.0118,65276.0,6.99,9.65,87.03,13.7,630007.78,3108.381,30.0004
7,21,100000,809.75,30.0315,24321.0,18.59,25.91,67.59,36.24,630246.09,1158.1429,30.0117
97,21,500000,83.91,30.2537,2539.0,181.12,248.98,384.73,356.7,632162.17,120.9048,30.103
166,21,1000000,31.07,30.6028,951.0,486.31,669.35,993.32,960.3,636550.36,45.2857,30.3119
66,22,10000,21116.12,30.0014,633549.0,0.73,1.04,19.92,1.42,659596.6,28797.6818,29.9817
78,22,50000,2208.05,30.0118,66271.0,6.99,9.96,38.59,13.7,659998.86,3012.3182,29.9999
26,22,100000,815.13,30.0329,24484.0,18.6,26.96,58.95,36.24,660195.52,1112.9091,30.0089
94,22,500000,84.04,30.2928,2546.0,181.3,260.28,389.06,356.7,662679.54,115.7273,30.1218
4,22,1000000,31.19,30.6191,955.0,486.1,696.67,1001.87,960.3,665321.48,43.4091,30.2419
148,23,10000,21186.97,30.0012,635670.0,0.73,1.08,18.44,1.42,689598.42,27637.8261,29.9825
172,23,50000,2202.24,30.007,66086.0,6.99,10.44,48.84,13.7,689967.11,2873.3043,29.9986
112,23,100000,832.8,30.0307,25011.0,18.57,27.6,68.65,36.24,690266.26,1087.4348,30.0116
50,23,500000,85.09,30.2351,2573.0,181.2,269.25,392.61,356.7,692787.71,111.8696,30.1212
140,23,1000000,31.21,30.6244,956.0,487.21,727.61,1037.65,960.3,695594.87,41.5652,30.2433
42,24,10000,21281.25,30.0011,638497.0,0.73,1.13,47.15,1.42,719583.23,26604.0417,29.9826
168,24,50000,2240.46,30.0113,67245.0,6.99,10.71,55.77,13.7,720011.34,2801.875,30.0005
36,24,100000,845.93,30.0271,25404.0,18.58,28.35,71.42,36.24,720147.87,1058.5,30.0062
127,24,500000,85.57,30.2534,2589.0,181.34,279.31,414.73,356.7,723141.23,107.875,30.1309
38,24,1000000,31.61,30.5592,966.0,488.31,752.74,1115.77,960.3,727144.78,40.25,30.2977
74,25,10000,21432.05,30.001,643022.0,0.73,1.17,28.29,1.42,749475.86,25720.88,29.979
67,25,50000,2239.7,30.0111,67219.0,6.99,11.16,54.19,13.7,749984.67,2688.76,29.9994
158,25,100000,843.49,30.0286,25332.0,18.59,29.62,72.98,36.89,750228.87,1013.28,30.0092
107,25,500000,85.58,30.2476,2589.0,181.2,291.06,456.36,363.18,753557.42,103.56,30.1423
93,25,1000000,31.79,30.696,976.0,488.65,778.78,1101.85,977.74,760085.22,39.04,30.4034
2,26,10000,21711.67,30.0012,651412.0,0.73,1.2,28.42,1.42,779578.73,25054.3077,29.9838
15,26,50000,2259.86,30.0104,67825.0,7.0,11.5,42.93,13.95,779967.98,2608.6538,29.9988
44,26,100000,848.21,30.0452,25487.0,18.6,30.61,84.66,36.89,780118.52,980.2692,30.0046
144,26,500000,86.67,30.2138,2619.0,181.72,298.69,416.09,363.18,782269.42,100.7308,30.0873
20,26,1000000,32.28,30.541,986.0,489.67,798.07,1085.23,977.74,786897.52,37.9231,30.2653
178,27,10000,21930.08,30.0015,657969.0,0.73,1.23,30.6,1.44,809523.14,24369.2222,29.9823
79,27,50000,2274.85,30.0113,68277.0,7.0,11.86,57.52,13.95,809999.72,2528.7778,30.0
28,27,100000,853.42,30.0303,25631.0,18.62,31.61,93.79,37.56,810314.91,949.2963,30.0117
133,27,500000,86.84,30.2475,2627.0,181.9,309.6,446.54,376.49,813308.88,97.2963,30.1226
16,27,1000000,32.25,30.5996,987.0,491.21,830.71,1089.21,995.51,819912.34,36.5556,30.3671
72,28,10000,22023.3,30.0012,660762.0,0.73,1.27,37.33,1.44,839508.04,23598.6429,29.9824
111,28,50000,2273.14,30.0103,68221.0,7.01,12.31,82.32,14.46,839909.99,2436.4643,29.9968
99,28,100000,857.31,30.0334,25751.0,18.64,32.63,93.55,39.65,840309.24,919.6786,30.011
150,28,500000,87.31,30.2672,2643.0,182.15,318.91,449.89,383.33,842875.75,94.3929,30.1027
155,28,1000000,32.3,30.5852,988.0,492.7,856.45,1164.03,995.51,846168.5,35.2857,30.2203
39,29,10000,22104.57,30.0011,663196.0,0.73,1.31,35.48,1.47,869357.85,22868.8276,29.9779
88,29,50000,2294.25,30.0109,68856.0,6.99,12.63,94.75,15.0,869770.02,2374.3448,29.9921
141,29,100000,862.63,30.024,25902.0,18.61,33.59,102.62,40.37,870076.79,893.1724,30.0026
101,29,500000,87.39,30.2861,2647.0,182.91,330.11,499.97,390.3,873811.6,91.2759,30.1314
77,29,1000000,32.51,30.6337,996.0,490.82,882.56,1153.98,1013.6,879033.47,34.3448,30.3115
149,30,10000,22185.89,30.001,665633.0,0.73,1.35,49.74,1.5,899499.21,22187.7667,29.9833
162,30,50000,2299.74,30.0124,69024.0,7.0,13.04,54.71,15.27,900042.88,2300.8,30.0014
32,30,100000,861.41,30.0276,25868.0,18.62,34.8,130.24,41.85,900308.07,862.2667,30.0103
63,30,500000,87.86,30.2859,2661.0,182.97,339.61,506.35,397.39,903691.78,88.7,30.1231
115,30,1000000,32.47,30.7935,1000.0,500.64,911.66,1224.97,1032.01,911660.09,33.3333,30.3887
118,31,10000,22266.7,30.0013,668062.0,0.73,1.39,61.74,1.52,929312.88,21550.3871,29.9778
171,31,50000,2304.44,30.0114,69163.0,7.0,13.44,59.01,15.83,929885.45,2231.0645,29.9963
176,31,100000,865.42,30.0337,25995.0,18.69,35.79,116.3,42.61,930232.96,838.5484,30.0075
186,31,500000,88.13,30.238,2665.0,183.76,350.25,559.69,404.61,933415.09,85.9677,30.1102
61,31,1000000,32.57,30.7282,1001.0,500.3,939.15,1247.16,1050.76,940085.63,32.2903,30.3253
47,32,10000,22342.03,30.0012,670321.0,0.73,1.43,49.61,1.55,959373.82,20947.5312,29.9804
191,32,50000,2307.87,30.0123,69268.0,7.03,13.86,99.77,16.71,959828.02,2164.625,29.9946
25,32,100000,866.2,30.0318,26016.0,18.68,36.91,121.85,44.98,960177.3,813.0,30.0055
109,32,500000,88.26,30.3059,2675.0,187.04,360.91,593.94,419.45,965428.72,83.5938,30.1696
41,32,1000000,32.6,30.7363,1002.0,535.76,968.55,1322.48,1089.3,970484.71,31.3125,30.3276
157,33,10000,22325.57,30.0013,669829.0,0.73,1.48,48.89,1.58,989316.46,20297.8485,29.9793
181,33,50000,2306.98,30.0136,69246.0,7.02,14.29,93.8,21.11,989863.28,2098.3636,29.9959
52,33,100000,866.47,30.0342,26027.0,18.7,38.05,144.69,52.89,990271.06,788.697,30.0082
121,33,500000,88.18,30.2884,2671.0,190.5,372.37,738.06,458.96,994610.02,80.9394,30.1397
82,33,1000000,32.55,30.7494,1001.0,537.39,998.44,1673.84,1191.92,999438.3,30.3333,30.286
0,34,10000,22337.83,30.0016,670204.0,0.73,1.52,55.53,1.61,1019211.13,19711.8824,29.9768
187,34,50000,2309.26,30.0128,69313.0,7.03,14.71,78.39,25.74,1019928.26,2038.6176,29.9979
9,34,100000,866.88,30.0302,26035.0,18.74,39.19,150.27,64.47,1020205.38,765.7353,30.006
128,34,500000,88.27,30.3339,2678.0,186.19,383.12,753.74,530.08,1025994.25,78.7647,30.1763
134,34,1000000,32.71,30.7202,1005.0,562.94,1027.27,1910.24,1304.21,1032404.11,29.5588,30.3648
195,35,10000,22324.55,30.0155,670115.0,0.73,1.57,48.79,1.64,1049188.48,19146.1429,29.9768
6,35,50000,2306.77,30.0435,69311.0,7.03,15.14,87.79,26.2,1049655.54,1980.3143,29.9902
54,35,100000,867.03,30.0341,26042.0,18.79,40.33,129.17,69.29,1050243.26,744.0571,30.007
169,35,500000,88.16,30.3391,2675.0,193.13,394.56,947.59,569.67,1055446.35,76.4286,30.1556
165,35,1000000,32.68,30.6892,1003.0,671.33,1058.5,1953.06,1401.61,1061678.32,28.6571,30.3337
3,36,10000,22321.71,30.0013,669714.0,0.73,1.61,54.36,1.67,1079322.85,18603.1667,29.9812
130,36,50000,2308.09,30.0121,69274.0,7.03,15.59,91.58,29.19,1079789.76,1924.2778,29.9942
85,36,100000,866.91,30.0397,26045.0,18.76,41.48,133.3,73.13,1080374.42,723.4722,30.0104
163,36,500000,88.17,30.3223,2674.0,200.14,405.76,842.92,601.29,1084991.07,74.2778,30.1386
189,36,1000000,32.7,30.7265,1005.0,652.41,1088.28,2066.53,1506.29,1093726.06,27.9167,30.3813
21,37,10000,22343.0,30.0012,670349.0,0.73,1.65,54.83,1.7,1109155.86,18117.5405,29.9772
91,37,50000,2306.74,30.0128,69235.0,7.03,16.03,99.72,29.72,1109745.2,1871.2162,29.9931
62,37,100000,865.0,30.0321,25981.0,18.75,42.73,148.72,75.82,1110192.73,702.1892,30.0052
